1600220904 1 0
1600366945 2 0
1600366964 3 0
1600380729 4 0
1600381861 5 0
1600640047 6 0
1600642820 7 0
1600643254 8 0
1600647036 9 0
1600647310 10 0
1600648078 11 0
1600650318 12 0
1600650442 13 0
1600650562 14 0
1600650664 15 0
1600651050 16 0
1600651931 17 0
1600801913 18 0
1600802044 19 0
1600802184 20 0
1600802761 21 0
1600814068 22 0
1600895916 23 0
1600897472 24 0
1600899477 25 0
1600900917 26 0
1600901590 27 0
1600901633 28 0
1600921081 29 0
1600922278 30 0
1600924645 31 0
1600925445 32 0
1600926517 33 0
1600926543 34 0
1600928091 35 0
1601073181 35 1
1601393375 35 2
1601674901 35 3
1601677170 36 3
1601677212 37 3
1601679443 38 3
1601680501 39 3
1601686514 40 3
1601688686 41 3
1601689121 42 3
1601689302 43 3
1601690081 44 3
1601690183 45 3
1601690334 46 3
1601690649 47 3
1601690787 48 3
1601846843 49 3
1602025375 50 3
1602033565 51 3
1602034025 52 3
1602038263 53 3
1602049564 54 3
1602052062 55 3
1602114392 56 3
1602126644 57 3
1602126886 58 3
1602137353 59 3
1602176042 60 3
1602199813 61 3
1602199971 62 3
1602216781 63 3
1602218591 64 3
1602446597 65 3
1602446762 66 3
1602447644 67 3
1602449372 68 3
1602449618 69 3
1602811112 70 3
1602827394 71 3
1602863271 72 3
1602863604 73 3
1602864903 74 3
1602868538 75 3
1602879023 76 3
1602881777 77 3
1602882007 78 3
1603936311 79 3
1603938886 80 3
1603939595 81 3
1603939648 82 3
1604175187 83 3
1604175848 84 3
1604175957 85 3
